DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
LA GUAJIRA,BARRANCAS,OPERACION,20.0,20.0,28.6240234375,424.3046875,28,53963793.0,URBANA,,
NARIÑO,TAMINANGO,OPERACION,30.0,30.0,31.4365234375,172.1181640625,50,65915373.47,URBANA,,
HUILA,YAGUARA,OPERACION,30.0,30.0,1.1357421875,33.3701171875,19,65915373.47,URBANA,,
TOLIMA,VENADILLO,OPERACION,20.0,20.0,11.138671875,117.6201171875,149,53963793.0,URBANA,,
TOLIMA,VILLARRICA,OPERACION,30.0,30.0,9.2392578125,83.6904296875,46,65915373.47,URBANA,,
CUNDINAMARCA,LA PEÑA,OPERACION,30.0,30.0,6.5380859375,72.287109375,48,65915373.47,URBANA,,
BOLIVAR,ALTOS DEL ROSARIO,OPERACION,30.0,30.0,4.19921875,74.4208984375,19,65915373.47,URBANA,,
HUILA,VILLAVIEJA,OPERACION,30.0,30.0,34.994140625,156.5107421875,287,65915373.47,URBANA,,
CHOCO,RIO QUITO,OPERACION,30.0,30.0,28.056640625,447.509765625,31,65915373.47,URBANA,,
CALDAS,PALESTINA,OPERACION,20.0,20.0,0.4736328125,10.7578125,11,53963793.0,URBANA,,
HUILA,TARQUI,OPERACION,30.0,30.0,0.5693359375,13.7939453125,17,65915373.47,URBANA,,
TOLIMA,PALOCABILDO,OPERACION,30.0,30.0,8.2021484375,157.1025390625,69,65915373.47,URBANA,,
BOYACA,TOTA,OPERACION,30.0,30.0,18.060546875,259.13671875,83,65915373.47,URBANA,,
META,PUERTO RICO,OPERACION,30.0,30.0,70.392578125,395.0458984375,55,65915373.47,URBANA,,
CUNDINAMARCA,QUEBRADANEGRA,OPERACION,30.0,30.0,10.7880859375,109.6845703125,45,65915373.47,URBANA,,
CORDOBA,SAN JOSE DE URE,OPERACION,30.0,30.0,2.1962890625,30.7275390625,10,65915373.47,URBANA,,
NARIÑO,CONTADERO,OPERACION,30.0,30.0,9.9150390625,161.1083984375,43,65915373.47,URBANA,,
BOYACA,TOPAGA,OPERACION,30.0,30.0,3.80078125,52.6728515625,18,65915373.47,URBANA,,
BOLIVAR,SAN ESTANISLAO,OPERACION,30.0,30.0,20.408203125,309.6474609375,88,65915373.47,URBANA,,
SANTANDER,PUENTE NACIONAL,OPERACION,30.0,30.0,12.453125,216.375,87,65915373.47,URBANA,,
CHOCO,EL CARMEN DE ATRATO,OPERACION,30.0,30.0,0.0458984375,1.109375,3,65915373.47,URBANA,,
BOYACA,CHINAVITA,OPERACION,30.0,30.0,1.23828125,18.0419921875,24,65915373.47,URBANA,,
BOYACA,SIACHOQUE,OPERACION,30.0,30.0,11.8720703125,76.0361328125,34,65915373.47,URBANA,,
SANTANDER,SANTA HELENA DEL OPON,OPERACION,30.0,30.0,6.1005859375,143.169921875,20,65915373.47,URBANA,,
BOYACA,EL ESPINO,OPERACION,30.0,30.0,5.4990234375,83.1064453125,30,65915373.47,URBANA,,
SANTANDER,CONTRATACION,OPERACION,30.0,30.0,6.45703125,99.98828125,49,65915373.47,URBANA,,
META,CUBARRAL,OPERACION,30.0,30.0,15.8642578125,209.5859375,88,65915373.47,URBANA,,
MAGDALENA,EL PIÑON,OPERACION,30.0,30.0,20.0263671875,211.2216796875,96,65915373.47,URBANA,,
CESAR,PAILITAS,OPERACION,30.0,30.0,2.8984375,35.6416015625,56,65915373.47,URBANA,,
QUINDIO,CIRCASIA,OPERACION,20.0,20.0,4.6044921875,59.83203125,125,53963793.0,URBANA,,
BOLIVAR,SAN ESTANISLAO,OPERACION,30.0,30.0,23.7919921875,358.32421875,36,65915373.47,URBANA,,
BOYACA,JENESANO,OPERACION,30.0,30.0,0.9404296875,15.849609375,15,65915373.47,URBANA,,
NARIÑO,EL TAMBO,OPERACION,30.0,30.0,9.2431640625,116.443359375,158,65915373.47,URBANA,,
BOYACA,FIRAVITOBA,OPERACION,30.0,30.0,4.599609375,66.478515625,26,65915373.47,URBANA,,
VALLE DEL CAUCA,TORO,OPERACION,20.0,20.0,5.4873046875,70.013671875,5,53963793.0,URBANA,,
BOYACA,TINJACA,OPERACION,30.0,30.0,7.560546875,80.8017578125,37,65915373.47,URBANA,,
MAGDALENA,SITIONUEVO,OPERACION,30.0,30.0,18.7705078125,299.42578125,61,65915373.47,URBANA,,
CUNDINAMARCA,BELTRAN,OPERACION,30.0,30.0,1.6669921875,40.2080078125,12,65915373.47,URBANA,,
NARIÑO,FRANCISCO PIZARRO,OPERACION,30.0,30.0,8.0068359375,137.2607421875,24,65915373.47,URBANA,,
CHOCO,CERTEGUI,OPERACION,30.0,30.0,10.5986328125,175.9677734375,51,65915373.47,URBANA,,
BOYACA,CHIVATA,OPERACION,30.0,30.0,4.5712890625,75.576171875,15,65915373.47,URBANA,,
CORDOBA,COTORRA,OPERACION,30.0,30.0,17.9404296875,369.603515625,43,65915373.47,URBANA,,
HUILA,TERUEL,OPERACION,30.0,30.0,17.3818359375,182.654296875,61,65915373.47,URBANA,,
HUILA,ISNOS,OPERACION,30.0,30.0,3.369140625,41.416015625,14,65915373.47,URBANA,,
CHOCO,UNION PANAMERICANA,OPERACION,30.0,30.0,21.419921875,269.73046875,67,65915373.47,URBANA,,
ANTIOQUIA,PEQUE,OPERACION,30.0,30.0,10.060546875,86.4228515625,28,65915373.47,URBANA,,
SANTANDER,TONA,OPERACION,30.0,30.0,2.7001953125,35.2255859375,17,65915373.47,URBANA,,
PUTUMAYO,SIBUNDOY,OPERACION,20.0,20.0,4.494140625,60.1748046875,66,53963793.0,URBANA,,
CUNDINAMARCA,ARBELAEZ,OPERACION,30.0,30.0,3.0322265625,63.84375,49,65915373.47,URBANA,,
CALDAS,PALESTINA,OPERACION,20.0,20.0,6.4501953125,68.4013671875,64,53963793.0,URBANA,,
TOLIMA,SUAREZ,OPERACION,30.0,30.0,0.8134765625,6.3173828125,2,65915373.47,URBANA,,
BOLIVAR,SANTA ROSA,OPERACION,20.0,20.0,13.33984375,191.5390625,13,53963793.0,URBANA,,
ANTIOQUIA,PUEBLORRICO,OPERACION,30.0,30.0,5.123046875,94.3876953125,79,65915373.47,URBANA,,
BOYACA,SOCOTA,OPERACION,30.0,30.0,1.740234375,16.806640625,7,65915373.47,URBANA,,
CESAR,SAN ALBERTO,OPERACION,20.0,20.0,2.130859375,52.8037109375,35,53963793.0,URBANA,,
ANTIOQUIA,ANGELOPOLIS,OPERACION,30.0,30.0,2.91015625,29.701171875,6,65915373.47,URBANA,,
CUNDINAMARCA,CAQUEZA,OPERACION,20.0,20.0,11.58984375,152.0966796875,106,53963793.0,URBANA,,
NARIÑO,SAN ANDRES DE TUMACO,OPERACION,20.0,20.0,41.341796875,653.90625,37,53963793.0,URBANA,,
NARIÑO,LA TOLA,OPERACION,30.0,30.0,15.5537109375,322.982421875,33,65915373.47,URBANA,,
VALLE DEL CAUCA,LA CUMBRE,OPERACION,30.0,30.0,5.302734375,37.0849609375,90,65915373.47,URBANA,,
CUNDINAMARCA,CUCUNUBA,OPERACION,30.0,30.0,2.9931640625,53.2353515625,13,65915373.47,URBANA,,
CAUCA,ROSAS,OPERACION,30.0,30.0,0.3125,2.6279296875,2,65915373.47,URBANA,,
ATLANTICO,REPELON,OPERACION,30.0,30.0,4.974609375,63.33203125,40,65915373.47,URBANA,,
SANTANDER,SUAITA,OPERACION,30.0,30.0,15.9267578125,123.6650390625,48,65915373.47,URBANA,,
CUNDINAMARCA,YACOPI,OPERACION,30.0,30.0,11.73828125,201.982421875,75,65915373.47,URBANA,,
HUILA,PALESTINA,OPERACION,30.0,30.0,8.36328125,136.796875,51,65915373.47,URBANA,,
MAGDALENA,ZAPAYAN,OPERACION,30.0,30.0,13.8427734375,252.66015625,42,65915373.47,URBANA,,
CASANARE,SABANALARGA,OPERACION,30.0,30.0,3.7919921875,40.66015625,26,65915373.47,URBANA,,
